contract_id	category	requirement	failure_if
A01	authority	FAST64 primary authority is exactly 18a68dcccd795f1b6cda75504e9450d00c9cee02	primary input comes from any other revision
A02	authority	Lane A/B/C/D inputs use pinned commits from LANE_E_INPUT_AUTHORITY.tsv	branch tip or same-named substitute is silently used
A03	primary	primary GM uses exactly 12 accepted FAST12 workloads and accepted Base/IO/OO integer cycles	membership changes or observer rows enter GM
A04	primary	IO regressions ATAX/BICG/GESUMMV and weak/near-neutral rows remain visible	negative or weak results are excluded
A05	pressure	PIB;cacheline reservation;Tag-bank;MSHR entry/merge;downstream counters remain separate and nonexclusive	counters are stacked or normalized as a fake 100 percent causal distribution
A06	mechanism	IO HOL and OO retire/reclaim metrics retain exact numerator/denominator and scope	exposure fraction is called an exclusive stall probability
A07	sensitivity	logical/physical/PIB use accepted cells and explicit same-mode normalization	nonnumeric deadlock boundaries are fabricated into numeric bars
A08	sensitivity	Btree 16.5 KiB numeric row remains distinct from BICG/GESUMMV 16.5 KiB resource boundaries	all 16.5 KiB rows are treated identically
A09	observer	D4 consists of exactly 18 BICG/GESUMMV/Btree x 24/32/48 KiB x IO/OO cells	40 KiB observer values are invented or D4 membership changes
A10	observer	observer_sample_sm_cycles is used as the denominator for active-SM-cycle observer integrals	64 times global cycles is substituted
A11	observer	physical occupancy absolute lines and fraction of configured capacity are both retained	capacity fraction is inferred from raw lines without capacity metadata
A12	observer	no_free_per_instruction;no_free_per_active_SM_cycle;physical_full_time_fraction are distinct metrics	the three pressure meanings are conflated
A13	causality	capacity sweep is identified as controlled capacity intervention while internal mediator arrows remain non-isolated	all D4 evidence is called passive observational or internal mediators are claimed causal
A14	causality	L2 dominant bottleneck and duplicate-secondary-feedback claim remains INSUFFICIENT unless later pinned evidence changes it	final prose states L2 is proven dominant
A15	duplicate	IO duplicate values come from Lane C accepted evidence and OO duplicate values from qualified Lane D observer evidence	OO new_misses or other proxy replaces exact duplicate counter
A16	duplicate	duplicate_share is D/L and payload inflation is D/(L-D), recomputed from integer counts	rounded percentages are used as source arithmetic
A17	duplicate	D*128 B is labeled lower-request payload only	it is called DRAM traffic;memory bandwidth;or total-link traffic
A18	duplicate	OO lower/higher/equal-zero classification is derived across exactly 12 workloads	the 7/3/2 pattern is hard-coded without source reconciliation
A19	workload	exactly 12 workload explanations are present and each cites evidence scope	workload is omitted or physical-sweep result is projected onto workloads outside BICG/GESUMMV/Btree
A20	figures	F01-F09 have plot-ready data;real SVG/PDF;PNG preview;caption;source mapping	placeholder;missing vector export;or script-only figure is accepted
A21	visual_QA	every figure is rendered and visually inspected at intended reading size	file existence alone is treated as QA
A22	reproducibility	canonical tables/manifests/narrative rebuild twice deterministically from pinned compact inputs	result requires simulator run;raw SIM_HOST output;or changes across clean rebuilds
A23	nonregression	accepted FAST64 and pinned A-D scientific raw inputs remain byte-identical	Lane E modifies protected evidence
A24	zero_simulation	Lane E launches zero simulator/trace/Core experiments	any new simulation or Core scientific modification is started
A25	claims	every paper-facing quantitative or mechanism claim maps to source/evidence class and limitation	claim lacks evidence mapping or upgrades correlation to source proof
A26	final	all E0.1-E2.4 checklist rows close with concrete evidence before terminal state	terminal state is declared from planning;partial figures;or unvalidated package
