cost_component	resource_class	amount	currency	status	evidence_or_limitation
C15_manifest_and_payload_revalidation	CPU	NA	NA	EXECUTED_NO_BILLABLE_RATE_RECORDED	local Git object/hash work only
C16_metadata_and_tokenizer_download	NETWORK_STORAGE	NA	NA	EXECUTED_NO_BILLABLE_RATE_RECORDED	metadata/tokenizer preparation before the later explicit authorization for full local Wave-1 checkpoint preparation
C16_wave1_checkpoint_download_and_integrity	NETWORK_STORAGE_CPU	NA	NA	IN_PROGRESS_NO_BILLABLE_RATE_RECORDED	Llama and Qwen2.5-0.5B local; raw/AWQ shard transfers continue; accepted files require whole-file immutable-LFS SHA-256 match and failed attempts remain quarantined
C16_P0_rolling_transfer_package	CPU_STORAGE	NA	NA	EXECUTED_NO_BILLABLE_RATE_RECORDED	immutable Llama-only P0 package+identity hash, inputs/token receipts/scenarios, fixed G/C/H bindings, and G wheelhouse manifest; no transfer, GPU import, or provider charge occurred
C16_tokenization_and_validation	CPU	NA	NA	EXECUTED_NO_BILLABLE_RATE_RECORDED	CPU-only Transformers tokenizer verification; no Torch/CUDA loaded
C16_local_model_storage	STORAGE	NA	NA	PARTIAL	Llama and Qwen2.5-0.5B Wave-1 files accepted locally; Qwen2.5-7B raw/AWQ remain in transfer; optional DeepSeek-V2-Lite 4-file checkpoint is locally LFS-verified; Qwen3-30B-A3B is resource-limited
C16_upload_and_transfer	NETWORK	NA	NA	WAITING_INPUT	requires C16-0.9 package and transfer plan
C16_native_load_baseline_profile_capture	GPU	NA	NA	NOT_EXECUTED	no GPU rented or launched; no profiler/NVBit execution
C16_parse_and_sampling	CPU	NA	NA	EXECUTED_OFFLINE_NO_BILLABLE_RATE_RECORDED	fixed G/C/H release and wheel payload revalidation only; no parser run, native metric, GPU, or provider cost inferred
C16_retry_reserve	GPU_CPU_STORAGE	NA	NA	UNAVAILABLE	no native execution basis or provider price receipt
