check_id	expected	observed	status	evidence_path	detail
A00_PINNED_INPUTS	exact manifest closure	validated	PASS	E_INPUT_MANIFEST.tsv	manifest SHA-256 and pinned commit/path closure match
A01_FAST12_ORDER	ATAX|BICG|GESUMMV|GEMM|2DConvolution|Btree|DWT2D|Gaussian|Hotspot1|LUD|MRI-Q|NN	ATAX|BICG|GESUMMV|GEMM|2DConvolution|Btree|DWT2D|Gaussian|Hotspot1|LUD|MRI-Q|NN	PASS	tables/E_PRIMARY_PERFORMANCE.tsv	order is derived from pinned FAST12 source; aggregate is excluded
A02_PRIMARY_CELLS_AND_GM	12 workloads x Base/IO/OO = 36; integer GM	12 workloads x 3; rows=13	PASS	tables/E_PRIMARY_PERFORMANCE.tsv	cycles and GM are recomputed from pinned integers; diagnostic rows are rejected
A03_D4_CARTESIAN_AND_DENOMINATOR	[('BICG', '24', 'IO'), ('BICG', '24', 'OO'), ('BICG', '32', 'IO'), ('BICG', '32', 'OO'), ('BICG', '48', 'IO'), ('BICG', '48', 'OO'), ('Btree', '24', 'IO'), ('Btree', '24', 'OO'), ('Btree', '32', 'IO'), ('Btree', '32', 'OO'), ('Btree', '48', 'IO'), ('Btree', '48', 'OO'), ('GESUMMV', '24', 'IO'), ('GESUMMV', '24', 'OO'), ('GESUMMV', '32', 'IO'), ('GESUMMV', '32', 'OO'), ('GESUMMV', '48', 'IO'), ('GESUMMV', '48', 'OO')]	[('BICG', '24', 'IO'), ('BICG', '24', 'OO'), ('BICG', '32', 'IO'), ('BICG', '32', 'OO'), ('BICG', '48', 'IO'), ('BICG', '48', 'OO'), ('Btree', '24', 'IO'), ('Btree', '24', 'OO'), ('Btree', '32', 'IO'), ('Btree', '32', 'OO'), ('Btree', '48', 'IO'), ('Btree', '48', 'OO'), ('GESUMMV', '24', 'IO'), ('GESUMMV', '24', 'OO'), ('GESUMMV', '32', 'IO'), ('GESUMMV', '32', 'OO'), ('GESUMMV', '48', 'IO'), ('GESUMMV', '48', 'OO')]	PASS	tables/E_PHYSICAL_OBSERVER_SYNTHESIS.tsv	exact D4 cartesian coverage and source observer_sample_sm_cycles field
A04_D4_LAUNCH_REUSE	new=29; reuse=1	new=29; reuse=1	PASS	inputs/D_final/.../D4_D5_OBSERVER_RAW_RUN_INDEX.tsv; inputs/D_revision/.../D7_ORDERED_PREEXISTING_STAT_AUDIT.tsv	counts computed from pinned rows, not a handwritten observed phrase
A05_D5_QUALIFIED_PAIRS	12 pairs; OO qualifier exact; lower/higher/zero=7/3/2	pairs=12; lower/higher/zero=7/3/2	PASS	tables/E_DUPLICATE_IO_OO.tsv; tables/E_DUPLICATE_PAYLOAD_RATIOS.tsv	D5 exact OO metric required; proxy substitution is rejected
A06_LOGICAL_MEMBERSHIP	pinned rows=18	output rows=18; numeric=18	PASS	tables/E_SENS_LOGICAL.tsv	output rows equal pinned Lane-A table; numeric plot membership is row_kind=NUMERIC_ACCEPTED_POINT
A07_PHYSICAL_MEMBERSHIP_AND_BOUNDARY	pinned rows=30	output rows=30; numeric=26	PASS	tables/E_SENS_PHYSICAL.tsv	output rows equal pinned Lane-A table; numeric plot membership is row_kind=NUMERIC_ACCEPTED_POINT; BICG/GESUMMV 16.5 nonnumeric and Btree 16.5 numeric verified
A08_PIB_MEMBERSHIP	pinned rows=30	output rows=30; numeric=30	PASS	tables/E_SENS_PIB.tsv	output rows equal pinned Lane-A table; numeric plot membership is row_kind=NUMERIC_ACCEPTED_POINT
A09_FIGURE_IDENTITY	unique ordered F01..F09 with three assets and one heading each	ids=F01,F02,F03,F04,F05,F06,F07,F08,F09	PASS	FIGURE_INDEX.tsv; FIGURE_INDEX.md; figures/	F07 duplicate index/stale series path is prohibited
A10_RICH_WORKLOAD_EXPLANATIONS	12 Lane-A-rich rows plus C/D fields	rows=12; fields=34	PASS	WORKLOAD_EXPLANATIONS.tsv	Lane-A performance/pressure/HOL/reclaim/traffic/caveat fields are retained per workload
