metric	status	semantic_scope	existing_terminal_source	gap_or_next_gate	evidence
DTC lower outstanding peak	AVAILABLE_SOURCE_DEFINED	GPU-wide DTC lower requests after acquire before complete	DTC_L1_lower_outstanding_peak	usable without new observer	gpu-sim.h:709-717; shader.cc:5812-5823
DTC lower cap full events	AVAILABLE_SOURCE_DEFINED	GPU-wide failed cap acquisitions; reported as primary/nonexclusive stall counters	DTC_L1_lower_cap_full_events	usable without new observer; do not equate event count to cycles without source proof	gpu-sim.cc:1336-1345; shader.cc:5818-5823
DTC lower outstanding integral_or_average	IMPLEMENTED_PENDING_OFF_ON_EQUIVALENCE	GPU-wide post-CORE-tick integral of the existing outstanding counter	SG3_dtc_core_tick_samples; SG3_dtc_lower_outstanding_integral	default-off SG3 observer; qualify IO/OO NN+Btree OFF/ON before accepting diagnostics	SG3 observer Core 9b6bd33f; gpu-sim.cc observe_sg3_dtc_outstanding and post-CORE call
L2 accesses/misses/pending hits/reservation fails	AVAILABLE_SOURCE_DEFINED	aggregate and per L2 bank	L2_total_cache_* and per-bank L2_cache_bank lines	usable without new observer	gpu-sim.cc:1939-1969
L2 failure reason breakdown	AVAILABLE_SOURCE_DEFINED	aggregate L2 failure counters by access type and reason	L2_cache_stats_fail_breakdown with LINE_ALLOC_FAIL, MISS_QUEUE_FULL, MSHR_ENRTY_FAIL, MSHR_MERGE_ENRTY_FAIL, MSHR_RW_PENDING	parser extraction must preserve reason labels	gpu-cache.h:66-72; gpu-cache.cc:998-1015; gpu-sim.cc:1964-1968
L2 port utilization	AVAILABLE_SOURCE_DEFINED	aggregate data/fill port busy cycles normalized by available cycles	L2_cache_data_port_util; L2_cache_fill_port_util	usable as utilization indicator only	gpu-cache.h:1103-1155; gpu-cache.cc:1021-1033
L2 MSHR occupancy integral	IMPLEMENTED_PENDING_OFF_ON_EQUIVALENCE	per L2-bank post-cache-cycle integral; ready response ownership is included	SG3_l2_bank_tick_samples; SG3_l2_mshr_occupancy_integral	default-off SG3 observer; qualify IO/OO NN+Btree OFF/ON before accepting diagnostics	SG3 observer Core 9b6bd33f; read-only mshr_table/baseline_cache accessors and l2cache.cc post-cycle hook
L2 miss-queue occupancy integral	IMPLEMENTED_PENDING_OFF_ON_EQUIVALENCE	per L2-bank post-cache-cycle integral	SG3_l2_bank_tick_samples; SG3_l2_miss_queue_occupancy_integral	default-off SG3 observer; qualify IO/OO NN+Btree OFF/ON before accepting diagnostics	SG3 observer Core 9b6bd33f; read-only baseline_cache accessor and l2cache.cc post-cycle hook
lower creation_to_response lifetime	IMPLEMENTED_PENDING_OFF_ON_EQUIVALENCE	per DTC IO/OO lower request from post-construction creation through final complete response	SG3_lower_lifetime_completed; SG3_lower_lifetime_sum_cycles; SG3_lower_lifetime_max_cycles; unmatched/live-record closure	default-off SG3 observer; request identity is (SM, request UID); qualify IO/OO NN+Btree OFF/ON before accepting diagnostics	SG3 observer Core 9b6bd33f; shader.cc IO/OO create/final-completion hooks
terminal drain	AVAILABLE_SOURCE_DEFINED	DTC mode terminal lifecycle closure	assert lower outstanding zero and acquired equals released	must remain strict validator requirement	shader.cc:5548-5550,5668-5670,5723-5725
