comparison_id	candidate_or_baseline	current_configuration	logical_capacity	per_entry_or_group_symbolic_bits	total_symbolic_budget_or_formula	lookup_and_port_model	fairness_status	required_before_architectural_claim
FB1	Standard exact-page L2 TLB	768 entries; 48 sets; 16 way; 64KiB C4 profile	768 exact translations	1 + A + V + Z + P + Q + replacement share	B_exact = 768*(1+A+V+Z+P+Q)+R_exact_total	1 L2 ingress port; fixed 80cy in simulator	Reference budget definition; P,A,Q,Z,R remain unspecified	Declare implementation widths and replacement policy
FB2	Current REFERENCE_APPROX_SUBENTRY_16	768 groups; 48 sets; 16 way; 16 leaves/group	768 groups; at most 12,288 leaf translations	1 + A + B + Z + 16*(1+P+Q) + group replacement share; B=V-4	B_group_current = 768*(1+A+B+Z+16*(1+P+Q))+R_group_total(768)	1 L2 ingress port; whole group/leaf lookup fixed 80cy	NOT equal storage and NOT equal maximum leaf capacity to FB1	Label only fixed-group-count comparison; do not call same-budget
FB3	Equal-bit sub-entry candidate	G groups selected by budget equation	at most 16G leaves	1 + A + B + Z + 16*(1+P+Q) + group replacement share	Choose G such that B_group(G) <= B_exact	Must separately model base-tag compare, leaf mux, fill and invalidation	Potentially fair only after widths, R, and G are fixed	Publish G; ensure identical context/page-size semantics
FB4	Leaf-capacity-matched exact L2	E exact entries where E covers current group maximum	12,288 exact translations at maximum occupancy	1 + A + V + Z + P + Q + exact replacement share	B_exact_leafmatched = 12288*(1+A+V+Z+P+Q)+R_exact_total(12288)	Exact tag compare and exact fill; port assumptions explicit	Diagnostic capacity counterpart, not equal-bit counterpart	Use only to show benefit beyond raw 16x leaf provisioning
FB5	Expanded exact L2 under B_exact	Entry count derived from same B_exact	Derived from entry formula	1 + A + V + Z + P + Q + replacement share	Floor((B_total-R_exact)/per-exact-entry-bits)	Choose same lookup port/latency methodology as candidate	Required fair alternative	Include replacement and tag/index layout
FB6	PWC expansion under total translation budget	Current PWC has 128 entries but payload unspecified	PWC entries are not equivalent to TLB translations	PWC_tag(level,prefix,context)+PTE_or_pointer_payload+valid+replacement	B_pwc(n)=n*(PWC_tag+payload+state)+R_pwc(n)	Needs PWC ports, hierarchy-level hit behavior, and latency	Required alternative; cannot compare raw entry counts	Specify PWC payload, allocation policy, and per-level lookup timing
FB7	2MiB-page alternative	Standard exact L2 supports it; candidate C1 scope rejects it	Depends on OS allocation/promotion policy	TLB entry state plus page-size class; system cost outside TLB bit array	B_2M_tlb plus contiguity/promotion/demotion/migration/fault cost	Needs superpage priority, fragmentation and shootdown semantics	ARCHITECTURE DECISION REQUIRED; not a free baseline	Approve page policy and report allocator/OS assumptions
FB8	Weight Segment N=1 contiguous-PA descriptor	1 descriptor in current config	1 range translation region	D=1+A+2V+Z+Q+P+E+R	B_seg_1=D; current software 99-bit range lower bound omits A,Z,Q,P,E,R	At least one lookup input per required ingress; PA add/permission/epoch check	Not represented faithfully by identity-like SimPA	Choose contiguous-PA invariant and lifecycle protocol
FB9	Weight Segment N descriptors	N=1/4/16/64 sensitivity	N ranges per context or table	N*D plus topology/index state	B_seg(N)=N*D+B_index(N)+B_ports_or_replication	Comparator-input proxy per port is 2*N*V before hierarchy; replication multiplies storage	No fixed 10cy fairness without bank/port/queue model	Choose CAM/banked/hierarchical topology and aggregate throughput
FB10	Per-SM versus shared Weight descriptor table	35 C4 clusters; 1 L1 lookup port per cluster	Per-SM: N descriptors x35; shared: N descriptors plus ports/queues	Per-table D plus bank/queue/replica state	B_perSM=35*B_seg(N); B_shared=B_seg(N)+B_banks+B_queue	Per-SM supports 35 local inputs/cycle; a 1-port shared table accepts 1/cycle	Neither is modeled by current range vector	Choose placement, replicas, update broadcast and queue/backpressure policy
FB11	Combined Sub-entry plus Weight Segment	Current profile: 768 groups plus N=1 Segment descriptor	At most 12,288 subentry leaves plus one range acceleration path	Group leaf/tag state plus descriptor D and coordination state	B_combined(G,N)=B_group(G)+B_seg(N)+B_coordination	Current combined replay is not equal-bit to exact baseline and its path arbitration is architecture-dependent	Not yet a fair combined architecture comparison	Use equal-bit G and a selected descriptor topology; compare against B_exact allocated across exact L2/PWC/2MiB alternatives
