plan_id	selector_kind	universe_id	budget	certainty_units	remaining_after_certainty	stratum_id	N_s	n_s	count_mass	duration_mass_ns	variation_proxy_mass	variation_proxy_source	allocation_score	random_audit_target	random_audit_actual	estimated_capture_cost_ns	status
C16_V2_R_B12_c16_llama32_1b_frozen_compatible_S1_DECODE	SELECTOR_R	c16_llama32_1b_frozen_compatible|S1|DECODE	12	0	12	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	53175	12	53175	367427726	0	NATIVE_CENSUS_PRE_OUTCOME	1	1	1	111650	FROZEN_READY
C16_V2_R_B24_c16_llama32_1b_frozen_compatible_S1_DECODE	SELECTOR_R	c16_llama32_1b_frozen_compatible|S1|DECODE	24	0	24	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	53175	24	53175	367427726	0	NATIVE_CENSUS_PRE_OUTCOME	1	2	2	94485	FROZEN_READY
C16_V2_R_B48_c16_llama32_1b_frozen_compatible_S1_DECODE	SELECTOR_R	c16_llama32_1b_frozen_compatible|S1|DECODE	48	0	48	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	53175	48	53175	367427726	0	NATIVE_CENSUS_PRE_OUTCOME	1	5	5	253929	FROZEN_READY
C16_V2_R_B12_c16_llama32_1b_frozen_compatible_S1_FULL_FORWARD_UNATTRIBUTED	SELECTOR_R	c16_llama32_1b_frozen_compatible|S1|FULL_FORWARD_UNATTRIBUTED	12	8	4	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	35	4	35	309354	0	NATIVE_CENSUS_PRE_OUTCOME	1	1	1	11060209	FROZEN_READY
C16_V2_R_B24_c16_llama32_1b_frozen_compatible_S1_FULL_FORWARD_UNATTRIBUTED	SELECTOR_R	c16_llama32_1b_frozen_compatible|S1|FULL_FORWARD_UNATTRIBUTED	24	8	16	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	35	16	35	309354	0	NATIVE_CENSUS_PRE_OUTCOME	1	2	2	11075490	FROZEN_READY
C16_V2_R_B48_c16_llama32_1b_frozen_compatible_S1_FULL_FORWARD_UNATTRIBUTED	SELECTOR_R	c16_llama32_1b_frozen_compatible|S1|FULL_FORWARD_UNATTRIBUTED	48	8	40	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	35	35	35	309354	0	NATIVE_CENSUS_PRE_OUTCOME	1	5	5	11285879	FROZEN_READY
C16_V2_R_B12_c16_llama32_1b_frozen_compatible_S1_PREFILL	SELECTOR_R	c16_llama32_1b_frozen_compatible|S1|PREFILL	12	0	12	PREFILL|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	3502	12	3502	62186039	0	NATIVE_CENSUS_PRE_OUTCOME	1	1	1	416338	FROZEN_READY
C16_V2_R_B24_c16_llama32_1b_frozen_compatible_S1_PREFILL	SELECTOR_R	c16_llama32_1b_frozen_compatible|S1|PREFILL	24	0	24	PREFILL|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	3502	24	3502	62186039	0	NATIVE_CENSUS_PRE_OUTCOME	1	2	2	443636	FROZEN_READY
C16_V2_R_B48_c16_llama32_1b_frozen_compatible_S1_PREFILL	SELECTOR_R	c16_llama32_1b_frozen_compatible|S1|PREFILL	48	0	48	PREFILL|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	3502	48	3502	62186039	0	NATIVE_CENSUS_PRE_OUTCOME	1	5	5	1493323	FROZEN_READY
C16_V2_R_B12_c16_llama32_1b_frozen_compatible_S2_DECODE	SELECTOR_R	c16_llama32_1b_frozen_compatible|S2|DECODE	12	0	12	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_1|float16	109895	12	109895	864501217	0	NATIVE_CENSUS_PRE_OUTCOME	1	1	1	80507	FROZEN_READY
C16_V2_R_B24_c16_llama32_1b_frozen_compatible_S2_DECODE	SELECTOR_R	c16_llama32_1b_frozen_compatible|S2|DECODE	24	0	24	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_1|float16	109895	24	109895	864501217	0	NATIVE_CENSUS_PRE_OUTCOME	1	2	2	183225	FROZEN_READY
C16_V2_R_B48_c16_llama32_1b_frozen_compatible_S2_DECODE	SELECTOR_R	c16_llama32_1b_frozen_compatible|S2|DECODE	48	0	48	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_1|float16	109895	48	109895	864501217	0	NATIVE_CENSUS_PRE_OUTCOME	1	5	5	237527	FROZEN_READY
C16_V2_R_B12_c16_llama32_1b_frozen_compatible_S2_FULL_FORWARD_UNATTRIBUTED	SELECTOR_R	c16_llama32_1b_frozen_compatible|S2|FULL_FORWARD_UNATTRIBUTED	12	5	7	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_1|float16	1972	7	1972	245792481	0	NATIVE_CENSUS_PRE_OUTCOME	1	1	1	73698088	FROZEN_READY
C16_V2_R_B24_c16_llama32_1b_frozen_compatible_S2_FULL_FORWARD_UNATTRIBUTED	SELECTOR_R	c16_llama32_1b_frozen_compatible|S2|FULL_FORWARD_UNATTRIBUTED	24	5	19	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_1|float16	1972	19	1972	245792481	0	NATIVE_CENSUS_PRE_OUTCOME	1	2	2	77554757	FROZEN_READY
C16_V2_R_B48_c16_llama32_1b_frozen_compatible_S2_FULL_FORWARD_UNATTRIBUTED	SELECTOR_R	c16_llama32_1b_frozen_compatible|S2|FULL_FORWARD_UNATTRIBUTED	48	5	43	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_1|float16	1972	43	1972	245792481	0	NATIVE_CENSUS_PRE_OUTCOME	1	5	5	79176335	FROZEN_READY
C16_V2_R_B12_c16_llama32_1b_frozen_compatible_S2_PREFILL	SELECTOR_R	c16_llama32_1b_frozen_compatible|S2|PREFILL	12	0	12	PREFILL|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_1|float16	1328	12	1328	156505259	0	NATIVE_CENSUS_PRE_OUTCOME	1	1	1	2207887	FROZEN_READY
C16_V2_R_B24_c16_llama32_1b_frozen_compatible_S2_PREFILL	SELECTOR_R	c16_llama32_1b_frozen_compatible|S2|PREFILL	24	0	24	PREFILL|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_1|float16	1328	24	1328	156505259	0	NATIVE_CENSUS_PRE_OUTCOME	1	2	2	2037301	FROZEN_READY
C16_V2_R_B48_c16_llama32_1b_frozen_compatible_S2_PREFILL	SELECTOR_R	c16_llama32_1b_frozen_compatible|S2|PREFILL	48	0	48	PREFILL|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_1|float16	1328	48	1328	156505259	0	NATIVE_CENSUS_PRE_OUTCOME	1	5	5	5132856	FROZEN_READY
