model_id	revision	resource_kind	url	http_status	content_range	bytes_read	sha256	result_status	attempts	missing_reason
Qwen/Qwen2.5-0.5B-Instruct	NA	HF_MODEL_API	https://huggingface.co/api/models/Qwen/Qwen2.5-0.5B-Instruct?expand[]=sha&expand[]=siblings	200	NA	435	ee6ad0d8d1df8188059230470e901db682e1849fccc0403d4a9accf75165e5f6	PASS	1	NA
Qwen/Qwen2.5-0.5B-Instruct	7ae557604adf67be50417f59c2c2f167def9a775	CONFIG_JSON	https://huggingface.co/Qwen/Qwen2.5-0.5B-Instruct/resolve/7ae557604adf67be50417f59c2c2f167def9a775/config.json	200	NA	659	18e18afcaccafade98daf13a54092927904649e1dd4eba8299ab717d5d94ff45	PASS	1	NA
Qwen/Qwen2.5-0.5B-Instruct	7ae557604adf67be50417f59c2c2f167def9a775	SAFETENSORS_HEADER_RANGE	https://huggingface.co/Qwen/Qwen2.5-0.5B-Instruct/resolve/7ae557604adf67be50417f59c2c2f167def9a775/model.safetensors	206	bytes 8-32287/988097824	32288	bd808652be103f0e4e29786b9aa8829e0f38607880486926c7246ee2de577a76	PASS	1	NA
Qwen/Qwen2.5-7B-Instruct	NA	HF_MODEL_API	https://huggingface.co/api/models/Qwen/Qwen2.5-7B-Instruct?expand[]=sha&expand[]=siblings	200	NA	640	b0eb57487b242c97329fbd1e8e0ed8ea91c99ad587df01228ea07edeebe092ef	PASS	1	NA
Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	CONFIG_JSON	https://huggingface.co/Qwen/Qwen2.5-7B-Instruct/resolve/a09a35458c702b33eeacc393d103063234e8bc28/config.json	200	NA	663	7463bb0ea78315365e6c6b74de4e73bbcc8359dfb0c5a737584e077d42c0b03c	PASS	1	NA
Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	SAFETENSORS_INDEX	https://huggingface.co/Qwen/Qwen2.5-7B-Instruct/resolve/a09a35458c702b33eeacc393d103063234e8bc28/model.safetensors.index.json	200	NA	27752	624bf7c47cd12468fdc16e38a47cf4f19e0415b859a223ba3c027eed2f0e1028	PASS	1	NA
Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	SAFETENSORS_HEADER_RANGE	https://huggingface.co/Qwen/Qwen2.5-7B-Instruct/resolve/a09a35458c702b33eeacc393d103063234e8bc28/model-00001-of-00004.safetensors	206	bytes 8-9375/3945441440	9376	3afb560369ab8160cae46cbd11dad701a835c20a3ad9dd4562d0b2696e445cae	PASS	1	NA
Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	SAFETENSORS_HEADER_RANGE	https://huggingface.co/Qwen/Qwen2.5-7B-Instruct/resolve/a09a35458c702b33eeacc393d103063234e8bc28/model-00002-of-00004.safetensors	206	bytes 8-11087/3864726352	11088	20e0d104bddf53b6cf4ec70ff5bc40fdaef61da779ed2f57527d6390bb6abc67	PASS	1	NA
Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	SAFETENSORS_HEADER_RANGE	https://huggingface.co/Qwen/Qwen2.5-7B-Instruct/resolve/a09a35458c702b33eeacc393d103063234e8bc28/model-00003-of-00004.safetensors	206	bytes 8-11159/3864726424	11160	7d4c92793e1771da420b91e721c5d6858076b06691f1bf1bca16b457ec8ed52a	PASS	1	NA
Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	SAFETENSORS_HEADER_RANGE	https://huggingface.co/Qwen/Qwen2.5-7B-Instruct/resolve/a09a35458c702b33eeacc393d103063234e8bc28/model-00004-of-00004.safetensors	206	bytes 8-7239/3556377672	7240	ce6c55b46ee119c95277aa1dadfdb6031f130e44f6ead73f83280278ce92e896	PASS	1	NA
