subject	configured_value	parser_or_source_meaning	scope	resource_or_semantic_effect	available_terminal_counter_or_evidence	config_only_change	latency_relation	evidence
source_basis	Core 6582b9d171330d88b17e8d5294c97704229e3823	current DTC-enabled Core source audited for SG3.0	SOURCE_AUDIT_ONLY	no experiment result is asserted	git revision and cited paths	N/A	N/A	gpgpu-sim source worktree used by D2B canonical audit
FAST64_IO/OO dl2	S:128:128:16,L:B:m:L:L,A:192:4,32:0,32	cache_config::init sscanf format at gpu-cache.h:582-585; FAST64 final override at config lines 251-255	identical IO and OO resolved config	all following dl2 fields are per L2 bank	resolved config must be captured per attempt	YES	no automatic set/way timing law found in cache_config audit	configs/dtc_l1/fast64/FAST64_IO.config:251-255; FAST64_OO.config:251-255
cache_type	S	cache_config maps S to SECTOR	per L2 bank	L2 atom is SECTOR_SIZE rather than line size	L2 cache stats and failure breakdown are emitted at terminal	YES	atom choice changes 32-B transfer/fill granularity, not an inferred latency law	gpu-cache.h:593-603; gpu-cache.h:699
sets	128	m_nset parsed from second field	per L2 bank	128 sets x 16 ways x 128 B = 262144 B data array per bank	no dedicated capacity counter; use explicit config identity plus L2 misses	YES	no source path makes modeled cache latency a function of set count	gpu-cache.h:582-585; gpu-cache.h:789-792; gpu-cache.h:807-810
line_size_bytes	128	m_line_sz parsed from third field	per L2 bank	128-B tag/data line; sector cache requires 4 x 32-B sectors	L2 accesses/misses and per-reason reservation failures	NO for capacity-only sweep	line size participates in atom and port calculations; must remain fixed in SG3.2/3.3	gpu-cache.h:582-585; gpu-cache.h:735-746
ways	16	m_assoc parsed from fourth field	per L2 bank	associativity contributes to 256-KiB per-bank data capacity	no dedicated capacity counter; L2 misses are outcome not a direct capacity meter	YES	no source path makes modeled cache latency a function of associativity	gpu-cache.h:582-585; gpu-cache.h:807-810
replacement_policy	L	L maps to LRU	per L2 bank	tag victim selection policy	L2 miss/failure statistics only; no replacement-specific terminal counter identified	YES but frozen for all first sweeps	no automatic latency dependence	gpu-cache.h:607-615
write_policy	B	B maps to WRITE_BACK	per L2 bank	writeback behavior; not a capacity/concurrency dimension	L2 breakdown includes access type and failures	YES but frozen for all first sweeps	no automatic latency dependence	gpu-cache.h:617-632
allocation_policy	m	m maps to allocate ON_MISS	per L2 bank	line reservation/allocation occurs on miss	LINE_ALLOC_FAIL and aggregate Reservation_fails	YES but frozen for all first sweeps	no automatic latency dependence	gpu-cache.h:635-645; gpu-cache.h:66-72
write_allocate_policy	L	L maps to LAZY_FETCH_ON_READ	per L2 bank	write allocation policy	access/failure breakdown by access type	YES but frozen for all first sweeps	no automatic latency dependence	gpu-cache.h:704-718
set_index_function	L	L maps to LINEAR_SET_FUNCTION	per L2 bank	linear set mapping after L2 partition-address translation	no direct terminal mapping-pressure counter	YES but frozen for all first sweeps	no automatic latency dependence	gpu-cache.h:758-777; gpu-cache.cc:156-170
atom_or_sector_bytes	32	SECTOR cache sets m_atom_sz to SECTOR_SIZE	per L2 bank	MSHR address and fill atom are 32 B; lower transaction granularity is sector-sized at this L2	L2 accesses/misses; port utilization	NO for SG3.2/3.3	fill cycles = atom size / data-port width = 1 for this configuration	gpu-cache.h:699; gpu-cache.h:826-828; gpu-cache.cc:1223-1227
MSHR_type	A	A maps to ASSOC and baseline_cache/l2_cache constructs an associative mshr_table	per L2 bank	tracks outstanding cache misses by 32-B MSHR address	L2_cache_stats_fail_breakdown includes MSHR_ENRTY_FAIL and MSHR_MERGE_ENRTY_FAIL	NO for first resource sweep	no automatic latency dependence	gpu-cache.h:688-701; gpu-cache.h:1421; gpu-cache.cc:574-586
MSHR_entries	192	m_mshr_entries parsed from A:192:4	192 entries per L2 bank; 7680 nominal entries across 40 independently addressed banks	a new 32-B MSHR address is rejected when m_data.size reaches 192	L2_cache_stats_fail_breakdown[...][MSHR_ENRTY_FAIL]	YES; SG3.3 first one-dimensional sweep	no automatic latency dependence	gpu-cache.h:582-585; gpu-cache.cc:574-579; FAST64 n_mem=20 and subpartitions=2
MSHR_merge_limit	4	m_mshr_max_merge parsed from A:192:4	per L2 bank	an existing 32-B MSHR address accepts at most four merged requests	L2_cache_stats_fail_breakdown[...][MSHR_MERGE_ENRTY_FAIL]	YES but held fixed in initial MSHR-entry sweep	no automatic latency dependence	gpu-cache.h:582-585; gpu-cache.cc:574-586
cache_miss_queue	32	m_miss_queue_size parsed from 32:0,32	per L2 bank	baseline_cache m_miss_queue admission; checks reject when required occupancy reaches configured size	L2_cache_stats_fail_breakdown[...][MISS_QUEUE_FULL]	YES; separate one-dimensional SG3.3 queue sweep only if warranted	no automatic latency dependence	gpu-cache.h:901-906; gpu-cache.h:1482-1486; gpu-cache.cc:1573-1579
result_fifo_entries	0	m_result_fifo_entries is parsed from 32:0,32	config field global to cache_config but not used by audited baseline_cache/l2_cache path	NOT an established L2 fill/reservation limit; do not vary or attribute pressure to it	NONE	not a first-sweep knob	no automatic latency dependence	gpu-cache.h:582-585; baseline_cache members gpu-cache.h:1428-1434; texture-only result FIFO at gpu-cache.h:1782-1814
data_port_width_bytes_per_cache_cycle	32	m_data_port_width parsed from final field	per L2 bank	data-port and fill-port occupancy are modeled; a 32-B L2 atom fills in one port cycle	L2_cache_data_port_util and L2_cache_fill_port_util	YES but frozen for all first sweeps	changes modeled service bandwidth if altered; not a capacity-only knob	gpu-cache.h:752-756; gpu-cache.cc:1191-1227; gpu-sim.cc:1969
L2_bank_count	40	memory config computes n_mem_sub_partition = n_mem x subpartitions per channel	20 memory modules x 2 subpartitions	one l2_cache instance is constructed per memory_sub_partition	per-bank and aggregate L2 stats printed for all 40 banks	config-only but not an authorized first dimension	not a set/way-dependent latency setting	FAST64 config lines 251-252; gpu-sim.h:479-488; gpu-sim.cc:1191-1208; l2cache.cc:477-486
