workload	primary_class	secondary_classes	evidence_paths	evidence_backed_rationale	validator_status
ATAX	IO_HOL_SENSITIVE	OO_RECLAIM_SENSITIVE	docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_summary.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_io_oo.csv	IO is slower than Base while its recorded HOL cycles are large; OO has the same workload identity and records retire/reclaim activity with a materially lower cycle count. This is an evidence classification, not an exclusive causal proof.	SOURCE_TABLE_RECONCILED
BICG	IO_HOL_SENSITIVE	OO_RECLAIM_SENSITIVE	docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_summary.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_io_oo.csv	IO is slower than Base with substantial recorded HOL cycles; OO records retire/reclaim activity and a lower terminal cycle count. No unmeasured average-live-miss quantity is inferred.	SOURCE_TABLE_RECONCILED
GESUMMV	IO_HOL_SENSITIVE	OO_RECLAIM_SENSITIVE	docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_summary.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_io_oo.csv	The IO row is slower than Base and has the largest recorded HOL-cycle scale; the OO row records retire/reclaim counters and improves over IO. Classification is limited to those source metrics.	SOURCE_TABLE_RECONCILED
GEMM	TRAFFIC_SENSITIVE		docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_summary.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_traffic.csv	The measured modes reduce global-read and L1-miss traffic relative to Base while retaining zero L2 misses/reservation failures; this names a traffic contrast without assigning an unsupported micro-causal mechanism.	SOURCE_TABLE_RECONCILED
2DConvolution	CONVENTIONAL_STRUCTURE_LIMITED	TRAFFIC_SENSITIVE	docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_summary.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_stalls.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_traffic.csv	Base records very high PIB-full pressure and the accepted IO/OO modes materially reduce cycles; traffic and L2 reservation-fail counters provide a secondary measured contrast. The separate tag repair is already qualified and is not classified as a remaining issue.	SOURCE_TABLE_RECONCILED
Btree	CONVENTIONAL_STRUCTURE_LIMITED	OO_RECLAIM_SENSITIVE	docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_summary.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_stalls.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_io_oo.csv	Base has recorded PIB-full and MSHR-entry-full pressure; OO has the strongest incremental reduction and explicit retire/reclaim counters. The classification keeps these as measured structural/retirement evidence.	SOURCE_TABLE_RECONCILED
DWT2D	TRAFFIC_SENSITIVE	CONVENTIONAL_STRUCTURE_LIMITED	docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_summary.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_traffic.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_stalls.csv	The accepted modes show a large L2-reservation-fail traffic contrast and the Base row has nonzero PIB/cacheline pressure; the traffic class is primary because the direct traffic field changes are retained.	SOURCE_TABLE_RECONCILED
Gaussian	GENUINE_MECHANISM_NON_BENEFICIARY		docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_summary.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_traffic.csv	Both accepted modes are only about 1.108x over Base and preserve zero L2 misses/reservation failures; strict terminal/accounting acceptance rules out labelling this an implementation failure.	SOURCE_TABLE_RECONCILED
Hotspot1	CONVENTIONAL_STRUCTURE_LIMITED		docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_summary.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_stalls.csv	Base contains substantial recorded PIB-full and cacheline-all-reserved events and both accepted modes improve cycles. No OO-reclaim causality is asserted from the small IO-to-OO delta.	SOURCE_TABLE_RECONCILED
LUD	GENUINE_MECHANISM_NON_BENEFICIARY		docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_summary.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_stalls.csv	Accepted IO and OO gains are near neutral despite retained structural fields; all mode rows are strict terminal and cap-inert, so the low benefit is retained rather than relabelled as a failure.	SOURCE_TABLE_RECONCILED
NN	LOW_STRUCTURAL_PRESSURE		docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_summary.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_stalls.csv	Relative to the FAST12 structural table NN has low PIB-full/cacheline pressure and modest accepted-mode benefit; this is descriptive, not a platform-limit claim.	SOURCE_TABLE_RECONCILED
MRI-Q	GENUINE_MECHANISM_NON_BENEFICIARY		docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_summary.csv;docs/dtc_l1/fast64/generated/fast64_5_measured_features_v3/fast12_stalls.csv	Accepted IO and OO gains are near neutral with no MSHR-entry or downstream-full event pressure; strict terminal evidence retains this as a genuine low-benefit observation.	SOURCE_TABLE_RECONCILED
