target	family	scenario	trace_or_asset	sha256	qualification_class	final_evidence_role	stage_action	scientific_sample_identity
T0	PREFILL_FLASH	Qwen2.5 S2 prefill Flash	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_prefill_awma-route-b-nvbit1771-sim-native-contiguous-prefix_q05-contiguous-prefix_20260918T022749Z_1fea2d955d1c/traces/kernel-34-ctx_0x5b5ba0bd1a60.traceg.xz	d8fa338f82800f646c8501a6a1d1049afaae213fe0d7f70d4913fcfaa76ba67a	ALREADY_DEVELOPMENT	DEVELOPMENT	REUSED_NO_RERUN	T0
T1	PREFILL_GEMM	Qwen2.5 S2 prefill GEMM	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_prefill_awma-route-b-nvbit1771-sim-native_prefill-gemm-primary-occ0_20260918T052739Z_01540d931e17/traces/kernel-45-ctx_0x60d38cb72530.traceg.xz	e36178f9a92033cd91f3c1ff4b165321b7958157c7deed2a9aaa4696e7c73e8c	ALREADY_DEVELOPMENT	DEVELOPMENT	REUSED_NO_RERUN	T1
T2	DECODE_GEMV	Qwen2.5 S2 decode step16 GEMV	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_decode-gemv-primary-step16_20260918T074437Z_b0dfb1af1ae1/traces/kernel-17039-ctx_0x5ddb6907c160.traceg.xz	b87cd6cb6a2bc0f67e17616e26d1bf9091facad242d46a43f5f9c1ac274b6138	ALREADY_DEVELOPMENT	DEVELOPMENT	REUSED_NO_RERUN	T2
SPLITKV	FLASH_FWD_SPLITKV	Qwen2.5 S2 decode step16 SplitKV	/root/share/mnt164/huangrulin/c16_ai_workload/raw/C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step16_20260918T175706Z_891c75aa245e/traces/kernel-17543-ctx_0x5be0856adcb0.traceg.xz	282a9b18510bd0aaf54ec528c65bfb39d49b052902c6b87f3b85bb2973096371	ALREADY_DEVELOPMENT	DEVELOPMENT	REUSED_NO_RERUN	SPLITKV
COMBINE	FLASH_FWD_SPLITKV_COMBINE	Qwen2.5 S2 decode step16 Combine	/root/awma_prel1_coalescing_v1_runtime/inputs/kernel-16813-ctx_0x5c9946e7f280.traceg.xz	d153db1548517f24eebd80c1a5dc48785ab28ace173b2937dd4f7b4a7005dcb9	ALREADY_DEVELOPMENT	DEVELOPMENT	REUSED_NO_RERUN	COMBINE
A1	DECODE_GEMV_PAIR_A_S2_T2048	Pair A S2/T2048 step16 GEMV	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/awma/runtime_identity_bridge_batch1_20260924/A1_formal/raw/kernel-16828-ctx_0x608ad97ab300.traceg.xz	49f83c02fbb01dcc9167c6790271103e98d42f318c0344b5f26b8433b704d099	ALREADY_DEVELOPMENT	DEVELOPMENT	REUSED_NO_RERUN	A1
A2	DECODE_GEMV_PAIR_A_T8192	Pair A T8192 step16 GEMV	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/awma/runtime_identity_bridge_batch1_20260924/A2_formal/raw/kernel-16828-ctx_0x573505e282b0.traceg.xz	c8135003bae105108707ab6b024ca56e50146df88d1692068d92e99511ada2ca	ALREADY_DEVELOPMENT	DEVELOPMENT	REUSED_NO_RERUN	A2
H1	GEMV	Pair C S2 step16	/root/awma_prel1_coalescing_v1_runtime/inputs/kernel-16795-ctx_0x5bd5f19c5280.traceg.xz	ba73fd184217b066682f93e09969a1a9e05dc1b119e5644ee62a0be530585e3c	QUALIFIED_AND_NOT_YET_RUN_WITH_FROZEN_PREL1	ADDITIONAL_FROZEN_EVALUATION	RUN_COMPLETED_THIS_STAGE	STR_8a5773a1d265:S2
H2	GEMV	Pair C D128 step96	/root/awma_prel1_coalescing_v1_runtime/inputs/kernel-101035-ctx_0x56928de701b0.traceg.xz	4c601dcad31f1afdb931602671bbb54556ca12734f1ee853dc41a89779f44320	QUALIFIED_AND_NOT_YET_RUN_WITH_FROZEN_PREL1	ADDITIONAL_FROZEN_EVALUATION	RUN_COMPLETED_THIS_STAGE	STR_8a5773a1d265:D128
REDUCE	REDUCE	Independent S2 decode step1	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/awma/prel1_coalescer_independent_holdout_capture_20260925/primary_formal/raw/kernel-994-ctx_0x60474d7c4d80.traceg.xz	ed712fb618309fd4f08c5ccc284a807df8a78581df2880f76fc415fa8a3b9105	ALREADY_INDEPENDENT_HOLDOUT	INDEPENDENT_HOLDOUT	REUSED_NO_RERUN	STR_e0922aa2a506_P1
B1	OTHER	Batch1 Pair B grammar reject	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/awma/runtime_identity_bridge_batch1_20260924/B1_formal_GRAMMAR_REJECT		INPUT_AVAILABLE_BUT_NOT_SCIENTIFICALLY_USEFUL	NONE	GRAMMAR_REJECT_NO_RUN	B1_REJECTED
FALLBACK	ELEMENTWISE	Preregistered fallback			NOT_AVAILABLE	NONE	NOT_CAPTURED	STR_48b98b28a393
MICRO_CONTROLS	MICRO	M1/M2 and A1/A8/A32/A32_W8	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/awma		INPUT_AVAILABLE_BUT_NOT_SCIENTIFICALLY_USEFUL	CORRECTNESS_CALIBRATION	NO_PAPER_PERFORMANCE_RUN	AGGREGATE_NOT_INDEPENDENT_SAMPLES
PLATFORM_ANCHORS	MICRO	P_L1/P_L2/P_DRAM/P_BW	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/awma/rtx4080_platform_anchors_v1_20260923T115000Z		INPUT_AVAILABLE_BUT_NOT_SCIENTIFICALLY_USEFUL	PLATFORM_CALIBRATION	NO_MECHANISM_RUN	AGGREGATE_NOT_WORKLOAD_TARGETS
