item	owner	initial_target_or_limit	unit	authorization	when_unavailable_or_exceeded
static_registry_configs	A	8_to_12_verified	deployment_config	T0_METADATA_ONLY	publish_exact_verified_count_and_missing_roles;do_not_fabricate
metadata_http_concurrency	A	4	requests	BOUNDED_READ	backoff_and_cache
metadata_single_config_index	A	8	MiB	BOUNDED_READ	reject_over_limit
metadata_single_header	A	16	MiB	BOUNDED_RANGE_READ	header_limited_not_full_download
metadata_per_model	A	128	MiB	BOUNDED_READ	stop_model_fetch_and_report
metadata_campaign	A	1024	MiB	BOUNDED_READ	offline_continue
full_weight_download	ALL	0	B	NOT_AUTHORIZED	use_existing_local_or_static_only
new_machine_or_paid_service	ALL	0	operations	NOT_AUTHORIZED	requires_user_authorization
cpu_workers_A	A	4	workers_max	INITIAL_1_ADAPTIVE	resource_policy
cpu_workers_B	B	4	workers_max	INITIAL_1_ADAPTIVE	resource_policy
cpu_workers_C	C	8	workers_max	INITIAL_2_ADAPTIVE	resource_policy
cpu_workers_all	ALL	16	workers_max	AGGREGATE_CAP	no_implicit_BLAS_thread_oversubscription
native_real_deployments	B	3	deployments_max	EXISTING_LOCAL_GPU_AND_WEIGHTS	capability_limited_real_count
native_scenarios_per_deployment	B	8	scenarios_max	DIRECTORY_ONLY	no_cartesian_expansion
native_gpu_concurrency	B	1	process	EXCLUSIVE_C15_OWNER	wait_or_offline_work
native_warmup_initial	B	1_to_2	repeats	WITHIN_GPU_BUDGET	label_cold_and_steady_separately
native_repeats_initial	B	3	repeats	WITHIN_GPU_BUDGET	at_most_7_if_noise_high
gpu_active_campaign	B	4	hours_max	NATIVE_PLUS_CAPTURE	stop_new_GPU_tasks_then_validate_and_publish
native_scenario_timeout	B	10	minutes	BOUNDED_NATIVE	partial_or_new_smaller_explicit_scenario
model_load_timeout	B	30	minutes	EXISTING_LOCAL_MODEL	capability_or_budget_partial
capture_timeout_each	B	20	minutes	SELECTED_WINDOW_ONLY	partial_not_full_PASS
capture_target_windows_per_deployment	B	12	windows_max	START_2_TO_4_AFTER_CANARY	coverage_gap_report
capture_single_output	B	4	GiB_max	BOUNDED_CAPTURE	partial_not_full_PASS
capture_profile_per_deployment	B	12	GiB_max	BOUNDED_CAPTURE	no_more_dynamic_work_for_deployment
capture_profile_campaign	B	32	GiB_max	BOUNDED_CAPTURE	offline_continue
filesystem_reserve	ALL	64	GiB_min	RESOURCE_GUARD	pause_new_writes_or_capture
host_memory_reserve	ALL	32	GiB_min	RESOURCE_GUARD	reduce_own_concurrency
virtual_sampling_budgets	C	8_12_24_48	windows_per_plan	OFFLINE_ONLY_NOT_CAPTURE_AUTHORIZATION	infeasible_coverage_is_valid_result
selector_seed	C	15001	seed	PRIMARY_FROZEN	cannot_replace_for_better_result
sensitivity_seeds	C	15002_to_15021	seeds	PREDECLARED_RANDOM_DIAGNOSTIC	report_all_results
new_full_model_SASS	B	0	runs	NOT_AUTHORIZED	selective_capture_only
new_simulator_build	ALL	0	builds	NOT_AUTHORIZED	analysis_and_existing_trace_tools_only
new_simulator_replay	ALL	0	runs	NOT_AUTHORIZED	T3_proposal_only
new_full_ROI_simulation	ALL	0	runs	NOT_AUTHORIZED	separate_explicit_authorization
new_Core_changes	ALL	0	commits	NOT_AUTHORIZED	read_only_source_audit
future_T3_proposals	C	3	proposals_max	PLAN_ONLY	include_context_cost_and_go_no_go
