schema	refinement_type	workload	variant	action	evidence_status
SG5_PAPER_CRITICAL_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1 plan	BICG	B16-N	launch rolling	paper-critical 128B lower-work row
SG5_PAPER_CRITICAL_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1 plan	BICG	TC80-N	launch rolling	paper-critical 128B lower-work row
SG5_PAPER_CRITICAL_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1 plan	BICG	IO	launch rolling	paper-critical 128B lower-work row
SG5_PAPER_CRITICAL_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1 plan	BICG	OO	launch rolling	paper-critical 128B lower-work row
SG5_PAPER_CRITICAL_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1 plan	GESUMMV	B16-N	launch rolling	paper-critical 128B lower-work row
SG5_PAPER_CRITICAL_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1 plan	GESUMMV	TC80-N	launch rolling	paper-critical 128B lower-work row
SG5_PAPER_CRITICAL_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1 plan	GESUMMV	IO	launch rolling	paper-critical 128B lower-work row
SG5_PAPER_CRITICAL_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1 plan	GESUMMV	OO	launch rolling	paper-critical 128B lower-work row
SG5_PAPER_CRITICAL_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1 plan	Btree	B16-N	launch rolling	paper-critical 128B lower-work row
SG5_PAPER_CRITICAL_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1 plan	Btree	TC80-N	launch rolling	paper-critical 128B lower-work row
SG5_PAPER_CRITICAL_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1 plan	Btree	IO	launch rolling	paper-critical 128B lower-work row
SG5_PAPER_CRITICAL_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1 plan	Btree	OO	launch rolling	paper-critical 128B lower-work row
SG5_PAPER_CRITICAL_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1 plan	2DConvolution	B16-N	launch rolling	paper-critical 128B lower-work row
SG5_PAPER_CRITICAL_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1 plan	2DConvolution	TC80-N	launch rolling	paper-critical 128B lower-work row
SG5_PAPER_CRITICAL_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1 plan	2DConvolution	IO	launch rolling	paper-critical 128B lower-work row
SG5_PAPER_CRITICAL_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1 plan	2DConvolution	OO	launch rolling	paper-critical 128B lower-work row
SG5_PAPER_CRITICAL_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1 plan	BICG	B16-S	launch rolling	predeclared sector anchor
SG5_PAPER_CRITICAL_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1 plan	BICG	TC80-S	launch rolling	predeclared sector anchor
SG5_PAPER_CRITICAL_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1 plan	GESUMMV	B16-S	exact reuse	strict PASS UUID c4ee4642-3109-4212-8f2c-1c24e887a311
SG5_PAPER_CRITICAL_EXECUTION_PLAN_V3	pre-result efficiency refinement; preserves V1 plan	GESUMMV	TC80-S	launch rolling	predeclared sector anchor
