evidence_label	stage	workload	config_id	roi	coverage_class	semantic_status	realized_run_id	sample_scope	gpu_tot_ipc	vm_l1_tlb_accesses	vm_l1_tlb_hits	vm_l1_tlb_misses	vm_l2_tlb_accesses	vm_l2_tlb_hits	vm_l2_tlb_misses	vm_translation_mshr_allocations	vm_translation_mshr_merges	vm_translation_mshr_full_events	vm_translation_pwq_full_events	vm_translation_walk_starts	vm_pwc_accesses	vm_pwc_hits	vm_pwc_misses	vm_pte_requests	vm_pte_responses	vm_pte_response_misassociations	vm_translation_waiter_registrations	vm_translation_waiter_wakeups	completed_kernels	telemetry_records	rss_kb	wall_seconds	caveat
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-baseline	prefill	SMOKE_ONLY	COMPLETE	b2-smoke-b2-baseline-prefill	one_kernel_continuous_replay	1663.7548	99119	97229	1890	1890	1075	815	38	777	0	0	38	114	109	5	43	43	0	815	815	1	1	626688	53.29	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-baseline	decode1	SMOKE_ONLY	COMPLETE	b2-smoke-b2-baseline-decode1	one_kernel_continuous_replay	116.1201	1568	1536	32	32	0	32	2	30	0	0	2	6	1	5	7	7	0	32	32	1	1	204800	02.81	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l1tlb-e16	prefill	SMOKE_ONLY	COMPLETE	b2-smoke-b2-l1tlb-e16-prefill	one_kernel_continuous_replay	1664.2103	99112	96756	2356	2356	1548	808	38	770	0	0	38	114	109	5	43	43	0	808	808	1	1	626688	56.07	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l1tlb-e16	decode1	SMOKE_ONLY	COMPLETE	b2-smoke-b2-l1tlb-e16-decode1	one_kernel_continuous_replay	116.1201	1568	1536	32	32	0	32	2	30	0	0	2	6	1	5	7	7	0	32	32	1	1	204800	02.77	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l1tlb-e64	prefill	SMOKE_ONLY	COMPLETE	b2-smoke-b2-l1tlb-e64-prefill	one_kernel_continuous_replay	1665.1526	99119	97371	1748	1748	933	815	38	777	0	0	38	114	109	5	43	43	0	815	815	1	1	626688	47.17	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l1tlb-e64	decode1	SMOKE_ONLY	COMPLETE	b2-smoke-b2-l1tlb-e64-decode1	one_kernel_continuous_replay	116.1201	1568	1536	32	32	0	32	2	30	0	0	2	6	1	5	7	7	0	32	32	1	1	204800	02.81	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l1tlb-e128	prefill	SMOKE_ONLY	COMPLETE	b2-smoke-b2-l1tlb-e128-prefill	one_kernel_continuous_replay	1665.1526	99119	97371	1748	1748	933	815	38	777	0	0	38	114	109	5	43	43	0	815	815	1	1	626688	45.88	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l1tlb-e128	decode1	SMOKE_ONLY	COMPLETE	b2-smoke-b2-l1tlb-e128-decode1	one_kernel_continuous_replay	116.1201	1568	1536	32	32	0	32	2	30	0	0	2	6	1	5	7	7	0	32	32	1	1	204800	03.65	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e128	prefill	SMOKE_ONLY	COMPLETE	b2-smoke-b2-l2tlb-e128-prefill	one_kernel_continuous_replay	1663.7548	99119	97229	1890	1890	1075	815	38	777	0	0	38	114	109	5	43	43	0	815	815	1	1	626688	56.04	单 kernel smoke；不可用于完整 workload 性能结论。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e128	decode1	SMOKE_ONLY	COMPLETE	b2-smoke-b2-l2tlb-e128-decode1	one_kernel_continuous_replay	116.1201	1568	1536	32	32	0	32	2	30	0	0	2	6	1	5	7	7	0	32	32	1	1	204800	02.85	单 kernel smoke；不可用于完整 workload 性能结论。
