check_id	stage	purpose	status	evidence_path	check_lineage
E0.1	E0	ownership_and_freeze	PASS	E_EXECUTION_INVENTORY.tsv	core input audit
E0.2	E0	source_import	PASS	E_INPUT_MANIFEST.tsv	source-bound manifest audit
E0.3	E0	coverage_identity_units	PASS	E_COVERAGE_AND_IDENTITY.tsv	data-driven coverage audit
E0.4	E0	interpretation_reconciliation	PASS	E_INTERPRETATION_RECONCILIATION.tsv; E_CLAIM_EVIDENCE_REGISTER.tsv	claim audit
E1.1	E1	primary_and_mechanisms	PASS	tables/E_PRIMARY_PERFORMANCE.tsv; tables/E_IO_OO_MECHANISM.tsv	integer-cycle audit
E1.2	E1	three_sensitivities	PASS	E_COVERAGE_SENSITIVITY_AUDIT.tsv	source membership/row-kind audit
E1.3	E1	pool_observer	PASS	tables/E_PHYSICAL_OBSERVER_SYNTHESIS.tsv	D4 cartesian/denominator audit
E1.4	E1	duplicates	PASS	tables/E_DUPLICATE_IO_OO.tsv	qualified D5 audit
E1.5	E1	actual_figures	PASS	FIGURE_INDEX.tsv; E_MACHINE_FIGURE_CHECKS.tsv	unique figure and machine checks
E1.6	E1	writing	PASS	WORKLOAD_EXPLANATIONS.tsv; E_CLAIM_AUDIT.tsv	rich workload and claim audit
E2.1	E2	automated_acceptance	PASS	E_VALIDATION_REPORT.md; qa/E_NEGATIVE_FIXTURE_RESULTS.tsv	actual core/negative/claim checks
E2.2	E2	visual_QA	PASS	E_VISUAL_QA.md; qa/E_VISUAL_REVIEW.tsv	explicit nine-figure visual record
E2.3	E2	reproduction_package	PASS	rebuild_reports/DETERMINISM_COMPARISON.md; E_BUILD_PROVENANCE.tsv	measured isolated-core comparison
E2.4	E2	final_closeout	PASS	LANE_E_FINAL.md; E_VALIDATION_REPORT.md	all independent mandatory checks
