id	domain	baseline	2x	upper_bound	exact_config_or_source	modeled_quantity_changed	coupled_effects	architectural_work_constant	validity
D0_SCHEDULERS	D0_SCHEDULER_FRONTEND	4	NA	NA	gpgpusim.config:-gpgpu_num_sched_per_core; shader.cc scheduler construction	Scheduler count	With sub-core mode this also repartitions warp ownership and issue topology	YES	REJECTED_CONFOUNDED
D0_OBSERVATORY	D0_SCHEDULER_FRONTEND	LEVEL1	NA	NA	bottleneck_observatory.cc; shader.cc:exclusive scheduler predicates	Issued/no-active/no-eligible/dependency/sync/frontend/eligible-structural locations	Observational only	YES	OBSERVABLE_ONLY
D1_SP_UNITS	D1_EXECUTION_SP	4	NA	NA	gpgpusim.config:-gpgpu_num_sp_units and -gpgpu_pipeline_widths	SP functional-unit count	Baseline OC_EX_SP width is 4; an effective 2x path would require a second dimension	YES	REJECTED_CONFOUNDED
D1_SFU_UNITS	D1_EXECUTION_SFU	4	8	16	gpgpusim.config:-gpgpu_num_sfu_units; shader.cc functional-unit construction	Finite SFU instance count	Latency/initiation and pipeline-register widths remain frozen	YES	ELIGIBLE_DIAGNOSTIC
D1_TENSOR_SPECIALIZED_UNITS	D1_EXECUTION_TENSOR	4	8	16	gpgpusim.config:-specialized_unit_3; shader.h specialized_unit_params; shader.cc construction	Finite specialized TENSOR instance count	Latency=32 and ID/OC register widths=4 remain frozen	YES	ELIGIBLE_DIAGNOSTIC
D1_LDST_UNITS	D1_EXECUTION_LDST	1	NA	NA	gpu-sim.cc:-gpgpu_num_mem_units help string	Nominal LDST instance count	Source explicitly reports the knob is not hooked up	YES	REJECTED_CONFOUNDED
D2_L1_CAPACITY	D2_L1D_CAPACITY	adaptive_128KiB	NA	NA	gpgpusim.config:-gpgpu_unified_l1d_size/-gpgpu_adaptive_cache_config; shader.cc:set_cache_config	L1D capacity/associativity	Adaptive shared-memory partition can alter associativity and CTA-resource interaction	NO	REJECTED_CONFOUNDED
D2_L1_LATENCY	D2_L1D_LATENCY	32	16	1	gpgpusim.config:-gpgpu_l1_latency; shader.cc:l1_latency_queue	Modeled L1D pipeline latency	Capacity/banks/MSHR and request work remain frozen	YES	ELIGIBLE_DIAGNOSTIC
D2_L1_BANKS	D2_L1D_BANK_SERVICE	4	8	16	gpgpusim.config:-gpgpu_l1_banks; shader.cc:L1_latency_queue_cycle	Independent L1 latency queues/banks serviced per cycle	Address-to-bank mapping changes with bank count; capacity and latency stay frozen	YES	ELIGIBLE_DIAGNOSTIC
D2_L1_MSHR_ENTRIES	D2_L1D_RESERVATION	384	768	1536	-gpgpu_cache:dl1 A:384:48 field; gpu-cache.h/cache_config and mshr_table	Finite outstanding L1 miss entries	Per-line merge limit remains 48; tag capacity/latency/banks stay frozen	YES	ELIGIBLE_DIAGNOSTIC
D3_L2_CAPACITY	D3_L2_CAPACITY	2048_sets	4096_sets	8192_sets	gpgpusim.config:-gpgpu_cache:dl2 S:2048:128:16	L2 tag/data capacity per subpartition	Index set count changes; associativity/line/service/MSHR stay frozen	YES	ELIGIBLE_DIAGNOSTIC
D3_L2_MSHR_ENTRIES	D3_L2_RESERVATION	192	384	768	-gpgpu_cache:dl2 A:192:4 field; gpu-cache.h/cache_config and mshr_table	Finite outstanding L2 miss entries	Per-line merge limit remains 4; tag capacity/data port stay frozen	YES	ELIGIBLE_DIAGNOSTIC
D3_L2_DATA_PORT	D3_L2_SERVICE	32_bytes	64_bytes	128_bytes	-gpgpu_cache:dl2 final data_port_width field; gpu-cache.cc bandwidth_management	Modeled cache data-port bytes per cycle	Tag-array and fill-port semantics remain unchanged	YES	ELIGIBLE_DIAGNOSTIC
D3_L2_LATENCY	D3_L2_LATENCY	rop_latency_0	NA	NA	gpgpusim.config:-gpgpu_l2_rop_latency	ROP-side partition latency	Already zero; no clean independent L2-hit latency knob is exposed	YES	OBSERVABLE_ONLY
D4_LOCAL_XBAR	D4_ICNT	packet_per_grant	NA	NA	local_interconnect.cc:LOCAL_INCT_FLIT_SIZE/Push/Advance; icnt_wrapper.cc	Local crossbar arbitration	Packets are explicitly one flit; configured flit size is not a clean service-width control and grant_cycles is already 1	YES	OBSERVABLE_ONLY
D5_DRAM_DATA_RATIO	D5_DRAM_SERVICE	4	2	1	gpgpusim.config:-dram_data_command_freq_ratio; gpu-sim.h:BL/data_command_freq_ratio	Modeled DRAM data-command service ratio	Derived read/write turnaround timing terms also shrink; queues/topology/banks remain frozen	YES	ELIGIBLE_DIAGNOSTIC
D5_DRAM_BUS_WIDTH	D5_DRAM_BANDWIDTH	4_bytes	NA	NA	gpgpusim.config:-gpgpu_dram_buswidth; gpu-sim.h:dram_atom_size=BL*busW*chips	DRAM bus width	Also changes transaction atom size and request decomposition	NO	REJECTED_CONFOUNDED
D6_TRANSLATION_B1	D6_TRANSLATION_PATH	10/80	accepted_0/80	NA	a3756e1f3896c2ab292e2576c6271849c22eaf61 and 3e29f234a971e2be68076eef22a05391cf9e4b67	Sequential-L1 versus accepted B1 path timing	Existing causal diagnostic only; no new rerun and no mechanism inference	YES	ELIGIBLE_DIAGNOSTIC
