authority	model_label	model_id	revision	scenario	source_class	batch	context_tokens	decode_steps	historical_status	prospective_status	source_sha256	token_sequence_sha256	payload_path	payload_sha256	tokenizer_json_sha256	no_retokenization_after_freeze
C16_PROSPECTIVE_COMMON_INPUT_V1	Llama-3.2-1B	meta-llama/Llama-3.2-1B	4e20de362430cd3b72f300e6b0f18e50e7166e08	S0_TEXT	TEXT	1	128	4	SEPARATE_UNCHANGED_AXIS	PROSPECTIVE_FROZEN_INPUT_AUTHORITY_V1	52761ce278c0e4819f153036e2b93e2b921d7963dda6a1d67a8192503612fa9c	ae0487e43a0f7ac8ce1e8afcf465fe43d5da358ffedc18287890eb6ca87f0558	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/prospective_inputs/C16_PROSPECTIVE_COMMON_INPUT_V1/llama-3.2-1b__S0_TEXT.json	405496b950cf7916138419f841a127a8baffb784dbf031147588579ecce8a911	79e3e522635f3171300913bb421464a87de6222182a0570b9b2ccba2a964b2b4	True
C16_PROSPECTIVE_COMMON_INPUT_V1	Llama-3.2-1B	meta-llama/Llama-3.2-1B	4e20de362430cd3b72f300e6b0f18e50e7166e08	S1_CODE	CODE	1	256	16	SEPARATE_UNCHANGED_AXIS	PROSPECTIVE_FROZEN_INPUT_AUTHORITY_V1	80e1de76ca1c7e0c136a9bf44eb886f150824bc4ac3fefb74920e605490620f6	f6a5cf2ae9cb561ef77fb342a685f907169de173bfd5387b07add54a55fb6288	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/prospective_inputs/C16_PROSPECTIVE_COMMON_INPUT_V1/llama-3.2-1b__S1_CODE.json	8f52f0704abea2b806219bd94e7834af61cbe12ff96b467a38555232fb57a600	79e3e522635f3171300913bb421464a87de6222182a0570b9b2ccba2a964b2b4	True
C16_PROSPECTIVE_COMMON_INPUT_V1	Llama-3.2-1B	meta-llama/Llama-3.2-1B	4e20de362430cd3b72f300e6b0f18e50e7166e08	S2_TEXT	TEXT	1	2048	32	SEPARATE_UNCHANGED_AXIS	PROSPECTIVE_FROZEN_INPUT_AUTHORITY_V1	52761ce278c0e4819f153036e2b93e2b921d7963dda6a1d67a8192503612fa9c	a36500dcc2bf6bfc46d8b132136f0d8e880de3da24e4e94774a7ba6c7734b1b0	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/prospective_inputs/C16_PROSPECTIVE_COMMON_INPUT_V1/llama-3.2-1b__S2_TEXT.json	d0f9e239e85edfd858bc41e3be5cba08a127cad2d0aac35fb71afb246728c17d	79e3e522635f3171300913bb421464a87de6222182a0570b9b2ccba2a964b2b4	True
C16_PROSPECTIVE_COMMON_INPUT_V1	Llama-3.2-1B	meta-llama/Llama-3.2-1B	4e20de362430cd3b72f300e6b0f18e50e7166e08	S2_CODE	CODE	1	2048	32	SEPARATE_UNCHANGED_AXIS	PROSPECTIVE_FROZEN_INPUT_AUTHORITY_V1	80e1de76ca1c7e0c136a9bf44eb886f150824bc4ac3fefb74920e605490620f6	6415de235fa3b1e859db14a06b86513f7f01503e53a78bd4625d9a42d457a604	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/prospective_inputs/C16_PROSPECTIVE_COMMON_INPUT_V1/llama-3.2-1b__S2_CODE.json	6fd006f5d64d1a7989950d3dd077207d31195a3e10d07cfd826b8690afb2f4da	79e3e522635f3171300913bb421464a87de6222182a0570b9b2ccba2a964b2b4	True
C16_PROSPECTIVE_COMMON_INPUT_V1	Llama-3.2-1B	meta-llama/Llama-3.2-1B	4e20de362430cd3b72f300e6b0f18e50e7166e08	S2_STRUCTURED	STRUCTURED	1	2048	32	SEPARATE_UNCHANGED_AXIS	PROSPECTIVE_FROZEN_INPUT_AUTHORITY_V1	560f2d3866e678a9f2631e7a0cbab0f7cc11252b100cae80fd33df630e1db48e	0503811fd56d2ec5e97cde67f8cde063e4c1a65a3f5f98794cf7d6268bbaaee7	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/prospective_inputs/C16_PROSPECTIVE_COMMON_INPUT_V1/llama-3.2-1b__S2_STRUCTURED.json	7c9a1bedf6d384a0ab6de898a7375f61cd33a19c56afceb11d1ec0f52e03507b	79e3e522635f3171300913bb421464a87de6222182a0570b9b2ccba2a964b2b4	True
C16_PROSPECTIVE_COMMON_INPUT_V1	Llama-3.2-1B	meta-llama/Llama-3.2-1B	4e20de362430cd3b72f300e6b0f18e50e7166e08	S3_TEXT	TEXT	1	8192	16	SEPARATE_UNCHANGED_AXIS	PROSPECTIVE_FROZEN_INPUT_AUTHORITY_V1	52761ce278c0e4819f153036e2b93e2b921d7963dda6a1d67a8192503612fa9c	c6b5fe2ba60a4cd9b15c56343deea0c79f0aadbdeed77777ba1bdfa7164a6fd5	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/prospective_inputs/C16_PROSPECTIVE_COMMON_INPUT_V1/llama-3.2-1b__S3_TEXT.json	80de2522d908dcc225476289168bd3f7c2e74f85730e2281283e43e1a0b13788	79e3e522635f3171300913bb421464a87de6222182a0570b9b2ccba2a964b2b4	True
C16_PROSPECTIVE_COMMON_INPUT_V1	Llama-3.2-1B	meta-llama/Llama-3.2-1B	4e20de362430cd3b72f300e6b0f18e50e7166e08	S4_STRUCTURED	STRUCTURED	4	2048	16	SEPARATE_UNCHANGED_AXIS	PROSPECTIVE_FROZEN_INPUT_AUTHORITY_V1	560f2d3866e678a9f2631e7a0cbab0f7cc11252b100cae80fd33df630e1db48e	2f37a95b88ad83614166986ccedc142740e5d1ab482d15f2e5f9b122b2de6c93	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/prospective_inputs/C16_PROSPECTIVE_COMMON_INPUT_V1/llama-3.2-1b__S4_STRUCTURED.json	2a7cd3934f8e5a8b76389c8c1ef4a92b94a7b380567db387cc2db1b2ffcad164	79e3e522635f3171300913bb421464a87de6222182a0570b9b2ccba2a964b2b4	True
C16_PROSPECTIVE_COMMON_INPUT_V1	Qwen2.5-0.5B-Instruct	Qwen/Qwen2.5-0.5B-Instruct	7ae557604adf67be50417f59c2c2f167def9a775	S0_TEXT	TEXT	1	128	4	SEPARATE_UNCHANGED_AXIS	PROSPECTIVE_FROZEN_INPUT_AUTHORITY_V1	52761ce278c0e4819f153036e2b93e2b921d7963dda6a1d67a8192503612fa9c	23e792e36e643b155ef095083e64ef766f7fc7699709b4f46ec5336ca6cb9a4d	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/prospective_inputs/C16_PROSPECTIVE_COMMON_INPUT_V1/qwen2.5-0.5b-instruct__S0_TEXT.json	bfd1cdba0296df2b44132fa3e12f512491a5257f23c338205a66d031fefaa625	c0382117ea329cdf097041132f6d735924b697924d6f6fc3945713e96ce87539	True
C16_PROSPECTIVE_COMMON_INPUT_V1	Qwen2.5-0.5B-Instruct	Qwen/Qwen2.5-0.5B-Instruct	7ae557604adf67be50417f59c2c2f167def9a775	S1_CODE	CODE	1	256	16	SEPARATE_UNCHANGED_AXIS	PROSPECTIVE_FROZEN_INPUT_AUTHORITY_V1	80e1de76ca1c7e0c136a9bf44eb886f150824bc4ac3fefb74920e605490620f6	d1fe8e0fdd223e637dbf506b267477ed9ed4df43b15db0d16c94f7f619142ee9	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/prospective_inputs/C16_PROSPECTIVE_COMMON_INPUT_V1/qwen2.5-0.5b-instruct__S1_CODE.json	3287b847b87038e014a856378f3627650bdeeca52f78e50fa5ea56495b124b67	c0382117ea329cdf097041132f6d735924b697924d6f6fc3945713e96ce87539	True
C16_PROSPECTIVE_COMMON_INPUT_V1	Qwen2.5-0.5B-Instruct	Qwen/Qwen2.5-0.5B-Instruct	7ae557604adf67be50417f59c2c2f167def9a775	S2_TEXT	TEXT	1	2048	32	SEPARATE_UNCHANGED_AXIS	PROSPECTIVE_FROZEN_INPUT_AUTHORITY_V1	52761ce278c0e4819f153036e2b93e2b921d7963dda6a1d67a8192503612fa9c	88ec1393a86d75e1284b3f3375f88476ff613f288f8758a8ee66a571fa194f5b	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/prospective_inputs/C16_PROSPECTIVE_COMMON_INPUT_V1/qwen2.5-0.5b-instruct__S2_TEXT.json	09fb963ea6ba0eea05bd4e1666fb8590e1e67865cb3b13313fa1b3c5315745d2	c0382117ea329cdf097041132f6d735924b697924d6f6fc3945713e96ce87539	True
